lambda_nm,T_percent,T45_percent,overlap_p45_percent,overlap_m45_percent,overlap_0_percent,overlap_90_percent,overlap_R_percent,overlap_L_percent,delta_deg,retardance_deg,retardance_deg_plus90,phi_in,phi_out_est,phi_out_field,phi_out_flux
575.000000,98.507358,98.493454,99.985886,0.014114,50.744831,49.255169,49.074573,50.925427,-1.060639,1.060639,91.060639,5.909819491352e+02,5.821607022450e+02,5.821607022450e+02,5.821607022450e+02
576.000000,98.450957,98.437440,99.986270,0.013730,50.751081,49.248919,49.100748,50.899252,-1.030639,1.030639,91.030639,5.930538171314e+02,5.838671565262e+02,5.838671565262e+02,5.838671565262e+02
577.000000,98.389056,98.376068,99.986800,0.013200,50.750760,49.249240,49.130409,50.869591,-0.996640,0.996640,90.996640,5.951292403426e+02,5.855420406766e+02,5.855420406766e+02,5.855420406766e+02
578.000000,98.321331,98.309008,99.987467,0.012533,50.743372,49.256628,49.163017,50.836983,-0.959263,0.959263,90.959263,5.972083542268e+02,5.871832001587e+02,5.871832001587e+02,5.871832001587e+02
579.000000,98.247817,98.236283,99.988260,0.011740,50.728457,49.271543,49.197988,50.802012,-0.919175,0.919175,90.919175,5.992909822311e+02,5.887903102236e+02,5.887903102236e+02,5.887903102236e+02
580.000000,98.168528,98.157889,99.989163,0.010837,50.705616,49.294384,49.234680,50.765320,-0.877114,0.877114,90.877114,6.013772482981e+02,5.903631901601e+02,5.903631901601e+02,5.903631901601e+02
581.000000,98.083266,98.073610,99.990156,0.009844,50.674517,49.325483,49.272424,50.727576,-0.833846,0.833846,90.833846,6.034671408682e+02,5.919002793954e+02,5.919002793954e+02,5.919002793954e+02
582.000000,97.992249,97.983640,99.991215,0.008785,50.634876,49.365124,49.310513,50.689487,-0.790183,0.790183,90.790183,6.055605642267e+02,5.934024147089e+02,5.934024147089e+02,5.934024147089e+02
583.000000,97.895446,97.887919,99.992311,0.007689,50.586489,49.413511,49.348207,50.651793,-0.746972,0.746972,90.746972,6.076576007294e+02,5.948691157712e+02,5.948691157712e+02,5.948691157712e+02
584.000000,97.792854,97.786413,99.993414,0.006586,50.529214,49.470786,49.384758,50.615242,-0.705073,0.705073,90.705073,6.097583285629e+02,5.963000728999e+02,5.963000728999e+02,5.963000728999e+02
