lambda_nm,t_xx_real,t_xx_imag,t_xy_real,t_xy_imag,t_yx_real,t_yx_imag,t_yy_real,t_yy_imag,abs_txx_sq,abs_txy_sq,abs_tyx_sq,abs_tyy_sq,phase_txx_rad,phase_tyy_rad,retardance_deg,qwp_error_deg,T_x,T_y
510.000000,-9.820852852438e-01,-8.433301287897e-02,1.352773506315e-02,-1.285211778601e-03,3.131718767308e-03,-1.409497385078e-02,8.917383750975e-02,-9.905651040831e-01,9.716035645536e-01,1.846513852546e-04,2.084759502917e-04,9.891711987234e-01,-3.055931419362e+00,-1.481015142035e+00,90.236056,0.236056,9.718120820006e-01,9.893557669145e-01
511.000000,-9.850121749384e-01,-5.220921248925e-02,1.333459119522e-02,-1.657205690898e-03,2.550329475181e-03,-1.417188126520e-02,5.549444773275e-02,-9.936730397189e-01,9.729747866455e-01,1.805576530456e-04,2.073463990270e-04,9.904657435933e-01,-3.088638584434e+00,-1.515006486515e+00,90.162478,0.162478,9.731821153320e-01,9.906461964482e-01
512.000000,-9.868984245732e-01,-2.022537004931e-02,1.314402629470e-02,-2.014677788389e-03,1.976527289154e-03,-1.421294633056e-02,2.196511000301e-02,-9.954424397429e-01,9.743775660187e-01,1.768243538269e-04,2.059145035202e-04,9.913881168987e-01,-3.121101649941e+00,-1.548734231315e+00,90.090017,0.090017,9.745835145787e-01,9.915648752869e-01
513.000000,-9.877634292884e-01,1.159712487167e-02,1.295601969514e-02,-2.359761084984e-03,1.413383102062e-03,-1.422060267937e-02,-1.134089893985e-02,-9.959078645057e-01,9.758110855448e-01,1.734269187191e-04,2.042231923577e-04,9.919610905730e-01,3.129852401118e+00,-1.582183332733e+00,90.020240,0.020240,9.760153460453e-01,9.921344256646e-01
514.000000,-9.876208853724e-01,4.323625252506e-02,1.277017147181e-02,-2.694345315202e-03,8.634686324946e-04,-1.419756410822e-02,-4.435477522632e-02,-9.951102335293e-01,9.772643867562e-01,1.703367760970e-04,2.023164046862e-04,9.922117229602e-01,3.097842401144e+00,-1.615339569418e+00,89.954565,0.045435,9.774667024193e-01,9.923819776808e-01
515.000000,-9.864870017033e-01,7.466816890999e-02,1.258593912559e-02,-3.019960203778e-03,3.288317398559e-04,-1.414666736765e-02,-7.701514679996e-02,-9.930963058858e-01,9.787319399779e-01,1.675260233056e-04,2.002363279240e-04,9.921716056006e-01,3.066045725415e+00,-1.648191952172e+00,89.894077,0.105923,9.789322438845e-01,9.923390493141e-01
516.000000,-9.843741530422e-01,1.058714299687e-01,1.240258071659e-02,-3.337971952071e-03,-1.889626271208e-04,-1.407087797451e-02,-1.092671938187e-01,-9.899157190575e-01,9.802012328613e-01,1.649660651845e-04,1.980253138479e-04,9.918724504822e-01,3.034452477973e+00,-1.680731591180e+00,89.839853,0.160147,9.803992750603e-01,9.920373438309e-01
517.000000,-9.812955673842e-01,1.368197499155e-01,1.221927338505e-02,-3.649323891111e-03,-6.888541397994e-04,-1.397313716616e-02,-1.410630556079e-01,-9.856223798095e-01,9.816606345348e-01,1.626282069207e-04,1.957230822903e-04,9.913502612387e-01,3.003058088761e+00,-1.712951748013e+00,89.792540,0.207460,9.818564355460e-01,9.915128296471e-01
518.000000,-9.772647719811e-01,1.674898301503e-01,1.203515515288e-02,-3.954799624599e-03,-1.170218447702e-03,-1.385632537903e-02,-1.723626704369e-01,-9.802706734245e-01,9.830992777590e-01,1.604853996246e-04,1.933671642248e-04,9.906394833363e-01,2.971855408000e+00,-1.744848876524e+00,89.752751,0.247249,9.832926853965e-01,9.907998885911e-01
519.000000,-9.722935957042e-01,1.978541908122e-01,1.184934556054e-02,-4.254828622381e-03,-1.632866970371e-03,-1.372320939192e-02,-2.031319976397e-01,-9.739165305835e-01,9.845011170693e-01,1.585105568188e-04,1.909927305573e-04,9.897760170088e-01,2.940841447654e+00,-1.776420718402e+00,89.720787,0.279213,9.846921650035e-01,9.899344694508e-01
520.000000,-9.663977899122e-01,2.278861061926e-01,1.166108348243e-02,-4.549670720738e-03,-2.076951449672e-03,-1.357633722266e-02,-2.333445908932e-01,-9.666154173567e-01,9.858567657428e-01,1.566803716513e-04,1.886306597077e-04,9.887950631707e-01,2.910013376531e+00,-1.807668185952e+00,89.696757,0.303243,9.860454798163e-01,9.889516792021e-01
521.000000,-9.595905412753e-01,2.575582424990e-01,1.146956998244e-02,-4.839385993802e-03,-2.502965241351e-03,-1.341808553769e-02,-2.629796501219e-01,-9.584212919336e-01,9.871502551842e-01,1.549706923792e-04,1.863098544963e-04,9.877296692099e-01,2.879368678417e+00,-1.838593815520e+00,89.680661,0.319339,9.873366132100e-01,9.878845928915e-01
522.000000,-9.518896845416e-01,2.868408408740e-01,1.127423027486e-02,-5.123801232560e-03,-2.911648679380e-03,-1.325054495559e-02,-2.920223384807e-01,-9.493871599700e-01,9.883716395301e-01,1.533616073615e-04,1.840546396522e-04,9.866130256876e-01,2.848908492892e+00,-1.869202125278e+00,89.672174,0.327826,9.885558045714e-01,9.867663492419e-01
523.000000,-9.433120952130e-01,3.157067821255e-01,1.107451017063e-02,-5.402664178276e-03,-3.303983030497e-03,-1.307553075243e-02,-3.204627965933e-01,-9.395622245086e-01,9.895084812551e-01,1.518335557426e-04,1.818858083235e-04,9.854735777239e-01,2.818631456657e+00,-1.899499660528e+00,89.671000,0.329000,9.896904416979e-01,9.856254035666e-01
524.000000,-9.338787294767e-01,3.441264426913e-01,1.087010174958e-02,-5.675598662576e-03,-3.681066154702e-03,-1.289458487372e-02,-3.482959082335e-01,-9.289935180864e-01,9.905524899283e-01,1.503715322248e-04,1.798205671009e-04,9.843389963388e-01,2.788540174222e+00,-1.929494648326e+00,89.676517,0.323483,9.907323577868e-01,9.844893391475e-01
525.000000,-9.236109244535e-01,3.720707370966e-01,1.066076796473e-02,-5.942142338639e-03,-4.044116740203e-03,-1.270898034550e-02,-3.755193918119e-01,-9.177265692389e-01,9.914937731735e-01,1.489610291704e-04,1.778730616307e-04,9.832368695138e-01,2.758637315252e+00,-1.959195126597e+00,89.688113,0.311887,9.916717265499e-01,9.833858643594e-01
526.000000,-9.125330299252e-01,3.995130351483e-01,1.044645380324e-02,-6.201826392173e-03,-4.394436205562e-03,-1.251965427998e-02,-4.021360411529e-01,-9.057995491274e-01,9.923271959578e-01,1.475910476619e-04,1.760528128549e-04,9.821862187936e-01,2.728924850264e+00,-1.988613532952e+00,89.704961,0.295039,9.925033263288e-01,9.823337699844e-01
527.000000,-9.006701363023e-01,4.264259217927e-01,1.022721734469e-02,-6.454158752203e-03,-4.733282636799e-03,-1.232730808806e-02,-4.281475517970e-01,-8.932503300223e-01,9.930457612035e-01,1.462521398141e-04,1.743664892177e-04,9.812064781947e-01,2.699406430910e+00,-2.017758758989e+00,89.726343,0.273657,9.932201840390e-01,9.813527517106e-01
528.000000,-8.880512427705e-01,4.527838889340e-01,1.000328876566e-02,-6.698654358307e-03,-5.061936366617e-03,-1.213238581024e-02,-4.535616715259e-01,-8.801122135697e-01,9.936482598643e-01,1.449377563412e-04,1.728179852283e-04,9.803156983518e-01,2.670086333309e+00,-2.046644657995e+00,89.751221,0.248779,9.938211723172e-01,9.804606297094e-01
529.000000,-8.747051004263e-01,4.785639080081e-01,9.774981814584e-03,-6.934914535892e-03,-5.381578422113e-03,-1.193506834345e-02,-4.783834818428e-01,-8.664133032876e-01,9.941324267597e-01,1.436433090956e-04,1.714072426762e-04,9.795227678138e-01,2.640967440081e+00,-2.075282852079e+00,89.778763,0.221237,9.943039063707e-01,9.796664099330e-01
530.000000,-8.606635066419e-01,5.037431283788e-01,9.542733823743e-03,-7.162549289164e-03,-5.693307758195e-03,-1.173536935525e-02,-5.026209007393e-01,-8.521818290046e-01,9.944988110541e-01,1.423658811505e-04,1.701326471338e-04,9.788416395456e-01,2.612054892068e+00,-2.103685599945e+00,89.807973,0.192027,9.946690475709e-01,9.789840555043e-01
531.000000,-8.459592461345e-01,5.283030819437e-01,9.307069890991e-03,-7.381301584168e-03,-5.998114004822e-03,-1.153306808445e-02,-5.262819975927e-01,-8.374385804591e-01,9.947511925117e-01,1.411051630322e-04,1.689890310555e-04,9.782761170314e-01,2.583351666136e+00,-2.131867320693e+00,89.837853,0.162147,9.949202784517e-01,9.784172083192e-01
532.000000,-8.306255697905e-01,5.522258032400e-01,9.068562935590e-03,-7.590978311348e-03,-6.296804825110e-03,-1.132783549588e-02,-5.493723026148e-01,-8.222050637871e-01,9.948921749538e-01,1.398617854401e-04,1.679696080273e-04,9.778310937975e-01,2.554861826975e+00,-2.159838595102e+00,89.867564,0.132436,9.950602234740e-01,9.779709993200e-01
533.000000,-8.146981087057e-01,5.754968232313e-01,8.827854931700e-03,-7.791489302147e-03,-6.590089728546e-03,-1.111920138212e-02,-5.719001924690e-01,-8.064983921053e-01,9.949296018780e-01,1.386383282406e-04,1.670659220065e-04,9.775094866145e-01,2.526589137581e+00,-2.187613651231e+00,89.896076,0.103924,9.950967773088e-01,9.776481390222e-01
534.000000,-7.982110212272e-01,5.981045905957e-01,8.585588581110e-03,-7.982875089753e-03,-6.878464326766e-03,-1.090659382530e-02,-5.938694055584e-01,-7.903327795486e-01,9.948699357002e-01,1.374386259827e-04,1.662670603646e-04,9.773067732873e-01,2.498535625617e+00,-2.215203633714e+00,89.922635,0.077365,9.950362948751e-01,9.774442403039e-01
535.000000,-7.812002281327e-01,6.200389713002e-01,8.342429508827e-03,-8.165241718756e-03,-7.162286399537e-03,-1.068940793637e-02,-6.152850929682e-01,-7.737230924982e-01,9.947221223656e-01,1.362673024355e-04,1.655617884992e-04,9.772231694938e-01,2.470704722522e+00,-2.242619802178e+00,89.946397,0.053603,9.948878042037e-01,9.773595061491e-01
536.000000,-7.637006821492e-01,6.412943713858e-01,8.099019421936e-03,-8.338855474465e-03,-7.441741246411e-03,-1.046696078732e-02,-6.361501831990e-01,-7.566789611737e-01,9.944972026863e-01,1.351306262209e-04,1.649367809018e-04,9.772501058670e-01,2.443097297233e+00,-2.269874305596e+00,89.966618,0.033382,9.946622487940e-01,9.773852512490e-01
537.000000,-7.457466796662e-01,6.618659786013e-01,7.855956689531e-03,-8.504034626309e-03,-7.716814254873e-03,-1.023861314321e-02,-6.564648765685e-01,-7.392124310598e-01,9.942046838631e-01,1.340346604332e-04,1.643784213406e-04,9.773811524015e-01,2.415714858364e+00,-2.296975355425e+00,89.982741,0.017259,9.943691561112e-01,9.775152534560e-01
538.000000,-7.273728925436e-01,6.817526586657e-01,7.613808109835e-03,-8.661217502182e-03,-7.987397777729e-03,-1.000372012688e-02,-6.762304817262e-01,-7.213324779275e-01,9.938580124050e-01,1.329867625535e-04,1.638729396367e-04,9.776082081286e-01,2.388558040191e+00,-2.323933798010e+00,89.994107,0.005893,9.940220028225e-01,9.777412300710e-01
539.000000,-7.086111554934e-01,7.009554863469e-01,7.373052017546e-03,-8.810920129456e-03,-8.253166047401e-03,-9.761671071987e-03,-6.954434562631e-01,-7.030478028785e-01,9.934683635294e-01,1.319942095811e-04,1.634049719236e-04,9.779178139914e-01,2.361625658641e+00,-2.350757007747e+00,90.000362,0.000362,9.936318726879e-01,9.780498657588e-01
